quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-afinput_exp_acyclic_depvary_step6_batch_yyy05.apx,outof time,143,1202.275,1200.55,1193.92,6.63,1381.7,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-afinput_exp_cycles_depvary_step4_batch_yyy01.apx,outof time,143,1201.463,1200.25,1197.17,3.08,727.9,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-afinput_exp_cycles_depvary_step4_batch_yyy03.apx,complete,20,227.537,225.52,223.78,1.74,778.7,complete,227.537,227.537
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-afinput_exp_cycles_indvary1_step1_batch_yyy04.apx,outof time,143,1201.495,1200.51,1196.91,3.6,736.4,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-afinput_exp_cycles_indvary3_step1_batch_yyy04.apx,outof time,143,1202.154,1200.88,1196.21,4.67,905.5,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-BA_180_20_1.apx,outof time,143,1200.863,1200.63,1196.29,4.34,272.3,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-BA_200_30_2.apx,outof time,143,1201.033,1200.77,1197.04,3.73,316.8,outof time,8000,1600
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,A-2-ferry2.pfile-L3-C4-09.pddl.2.cnf.apx,complete,10,550.57,548.87,522.29,26.58,217.5,complete,550.57,550.57
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-grd_1697_5_7.apx,outof time,143,1200.979,1200.14,1196.73,3.41,2032.1,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-grd_1948_5_1.apx,outof time,143,1201.911,1201.02,1197.51,3.51,2652.3,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-grd_3018_3_7.apx,outof time,143,1201.884,1200.93,1197.88,3.05,482,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-grd_3908_2_1.apx,outof time,143,1201.277,1200.14,1196.07,4.07,534.1,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-grd_5178_1_1.apx,outof time,143,1201.964,1200.91,1198.69,2.22,484.1,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-2-stb_422_250.apx,complete,20,179.549,178.22,177.03,1.19,476.4,complete,179.549,179.549
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,A-2-stb_428_430.apx,complete,10,735.103,733.66,697.85,35.81,240.7,complete,735.103,735.103
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,A-2-stb_547_485.apx,complete,10,746.499,744.9,713.2,31.7,233.2,complete,746.499,746.499
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,A-2-WS_300_16_70_30.apx,complete,10,325.979,324.66,310.52,14.14,136.2,complete,325.979,325.979
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,A-2-WS_300_16_90_30.apx,complete,10,325.898,324.51,310.26,14.25,136.2,complete,325.898,325.898
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_acyclic_depvary_step5_batch_yyy01.apx,outof time,143,1202.026,1200.47,1192.41,8.06,1113.2,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_acyclic_depvary_step6_batch_yyy04.apx,outof time,143,1202.913,1200.87,1194.63,6.24,1201.4,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_acyclic_indvary2_step2_batch_yyy10.apx,outof time,143,1202.652,1200.49,1188.48,12.01,2665.3,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_cycles_depvary_step4_batch_yyy05.apx,complete,20,1027.861,1024.56,1020.5,4.06,1645.4,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_cycles_indvary1_step1_batch_yyy02.apx,outof time,143,1202.54,1200.93,1194,6.93,1242.9,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_cycles_indvary1_step1_batch_yyy03.apx,outof time,143,1201.651,1200.71,1196.75,3.96,854.5,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,A-3-afinput_exp_cycles_indvary1_step1_batch_yyy09.apx,outof time,143,1202.987,1200.72,1193.9,6.82,1271.1,outof time,8000,1600
