backend,solver,benchmark,instance,status,result,real,time,user,system,memory,status800,par10,par2
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#25.asp.stunst,outof time,143,801.041,800.94,799.77,1.17,30.6,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#26.asp.stunst,complete,10,175.67,174.58,174.36,0.22,28.5,complete,175.67,175.67
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#27.asp.stunst,outof time,143,800.121,800.02,798.98,1.04,30,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#28.asp.stunst,complete,10,73.623,72.54,72.41,0.13,28.3,complete,73.623,73.623
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#29.asp.stunst,outof time,143,800.998,800.91,799.78,1.13,29.4,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#2.asp.stunst,outof time,143,801.031,800.93,799.73,1.2,30.7,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#30.asp.stunst,outof time,143,801.118,801.02,799.87,1.15,30.3,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#31.asp.stunst,outof time,143,801.021,800.91,799.85,1.06,30.5,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#32.asp.stunst,complete,10,191.878,190.79,190.53,0.26,29.2,complete,191.878,191.878
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#3.asp.stunst,outof time,143,800.824,800.73,799.49,1.24,30.3,outof time,8000,1600
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#4.asp.stunst,complete,10,103.025,101.94,101.78,0.16,28.6,complete,103.025,103.025
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#5.asp.stunst,complete,10,91.53,90.44,90.34,0.1,28.2,complete,91.53,91.53
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#6.asp.stunst,complete,10,135.351,134.26,134.04,0.22,28.6,complete,135.351,135.351
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#7.asp.stunst,complete,10,433.802,432.71,432.07,0.64,29.9,complete,433.802,433.802
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#8.asp.stunst,complete,10,52.737,51.65,51.59,0.06,28.1,complete,52.737,52.737
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#120.w#3.s#9.asp.stunst,complete,10,446.285,445.17,444.4,0.77,30.2,complete,446.285,446.285
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#10.asp.stunst,complete,10,0.145,0,0,0,0,complete,0.145,0.145
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#11.asp.stunst,complete,10,0.236,0.08,0.08,0,14.2,complete,0.236,0.236
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#12.asp.stunst,complete,10,3.914,3.66,3.63,0.03,15.7,complete,3.914,3.914
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#13.asp.stunst,complete,10,0.135,0,0,0,0,complete,0.135,0.135
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#14.asp.stunst,complete,10,8.289,7.73,7.66,0.07,16.3,complete,8.289,8.289
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#15.asp.stunst,complete,10,0.104,0,0,0,0,complete,0.104,0.104
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#16.asp.stunst,complete,10,0.251,0.09,0.09,0,14,complete,0.251,0.251
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#17.asp.stunst,complete,10,2.467,2.21,2.19,0.02,15,complete,2.467,2.467
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#18.asp.stunst,complete,10,0.676,0.52,0.51,0.01,14.6,complete,0.676,0.676
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#19.asp.stunst,complete,10,0.815,0.65,0.64,0.01,14.9,complete,0.815,0.815
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#124.w#1.s#1.asp.stunst,complete,10,4.175,3.92,3.87,0.05,15.5,complete,4.175,4.175
